waktu,SO2
2021-01-05,0.285
2021-01-06,0.285
2021-01-07,0.285
2021-01-08,0.285
2021-01-09,0.285
2021-01-10,0.285
2021-01-11,0.285
2021-01-12,-0.006
2021-01-13,-0.006
2021-01-14,-0.006
2021-01-15,-0.006
2021-01-16,-0.006
2021-01-17,-0.006
2021-01-18,-0.006
2021-01-19,-0.006
2021-01-20,-0.006
2021-01-21,4.587
2021-01-22,5.398
2021-01-23,5.398
2021-01-24,5.398
2021-01-25,5.398
2021-01-26,4.798
2021-01-27,0.307
2021-01-28,0.307
2021-01-29,0.307
2021-01-30,0.307
2021-01-31,0.307
2021-02-01,0.307
2021-02-02,0.444
2021-02-03,0.444
2021-02-04,0.444
2021-02-05,0.444
2021-02-06,0.444
2021-02-07,-2.325
2021-02-08,-2.325
2021-02-09,-2.325
2021-02-10,-2.325
2021-02-11,-2.325
2021-02-12,-0.68
2021-02-13,-0.619
2021-02-14,-0.619
2021-02-15,2.392
2021-02-16,7.551
2021-02-17,-3.369
2021-02-18,-0.657
2021-02-19,-2.228
2021-02-20,-2.228
2021-02-21,0.233
2021-02-22,0.233
2021-02-23,0.233
2021-02-24,0.233
2021-02-25,0.233
2021-02-26,-1.597
2021-02-27,-1.597
2021-02-28,-1.597
2021-03-01,-1.597
2021-03-02,-1.597
2021-03-03,-1.597
2021-03-04,-1.597
2021-03-05,1.701
2021-03-06,1.701
2021-03-07,1.701
2021-03-08,1.701
2021-03-09,1.701
2021-03-10,1.701
2021-03-11,1.701
2021-03-12,0.58
2021-03-13,1.278
2021-03-14,-2.7
2021-03-15,-4.759
2021-03-16,-2.658
2021-03-17,0.66
2021-03-18,2.118
2021-03-19,-0.485
2021-03-20,-1.677
2021-03-21,0.011
2021-03-22,0.252
2021-03-23,0.71
2021-03-24,13.347
2021-03-25,0.507
2021-03-26,-3.278
2021-03-27,2.689
2021-03-28,-4.122
2021-03-29,-4.122
2021-03-30,-4.122
2021-03-31,-4.778
2021-04-01,1.295
2021-04-02,0.903
2021-04-03,-3.017
2021-04-04,-3.017
2021-04-05,1.845
2021-04-06,1.845
2021-04-07,1.845
2021-04-08,1.845
2021-04-09,1.845
2021-04-10,1.845
2021-04-11,0.942
2021-04-12,0.128
2021-04-13,0.128
2021-04-14,-4.399
2021-04-15,4.221
2021-04-16,2.931
2021-04-17,1.765
2021-04-18,1.765
2021-04-19,-0.626
2021-04-20,5.835
2021-04-21,1.598
2021-04-22,2.524
2021-04-23,-0.053
2021-04-24,1.619
2021-04-25,-2.207
2021-04-26,1.441
2021-04-27,1.924
2021-04-28,-1.864
2021-04-29,1.319
2021-04-30,0.771
2021-05-01,2.714
2021-05-02,0.97
2021-05-03,0.156
2021-05-04,2.3
2021-05-05,-1.822
2021-05-06,-1.822
2021-05-07,-1.822
2021-05-08,5.86
2021-05-09,2.081
2021-05-10,2.184
2021-05-11,1.5
2021-05-12,1.53
2021-05-13,1.383
2021-05-14,1.524
2021-05-15,1.723
2021-05-16,0.483
2021-05-17,3.908
2021-05-18,1.793
2021-05-19,1.793
2021-05-20,0.022
2021-05-21,1.825
2021-05-22,0.404
2021-05-23,0.404
2021-05-24,1.342
2021-05-25,3.928
2021-05-26,-1.703
2021-05-27,3.058
2021-05-28,0.312
2021-05-29,0.318
2021-05-30,0.318
2021-05-31,0.992
2021-06-01,-2.176
2021-06-02,0.068
2021-06-03,1.569
2021-06-04,0.65
2021-06-05,0.201
2021-06-06,1.11
2021-06-07,1.11
2021-06-08,7.142
2021-06-09,1.903
2021-06-10,4.845
2021-06-11,-0.085
2021-06-12,-0.491
2021-06-13,0.221
2021-06-14,0.221
2021-06-15,0.221
2021-06-16,-0.566
2021-06-17,-0.566
2021-06-18,0.101
2021-06-19,0.73
2021-06-20,0.73
2021-06-21,1.551
2021-06-22,1.064
2021-06-23,6.439
2021-06-24,6.439
2021-06-25,2.448
2021-06-26,-1.26
2021-06-27,2.744
2021-06-28,2.744
2021-06-29,0.857
2021-06-30,-0.316
2021-07-01,-1.934
2021-07-02,-0.62
2021-07-03,-7.812
2021-07-04,2.375
2021-07-05,2.375
2021-07-06,0.768
2021-07-07,0.195
2021-07-08,1.598
2021-07-09,-1.119
2021-07-10,1.227
2021-07-11,1.174
2021-07-12,2.217
2021-07-13,-0.231
2021-07-14,17.652
2021-07-15,1.16
2021-07-16,6.428
2021-07-17,6.428
2021-07-18,2.186
2021-07-19,-0.629
2021-07-20,-0.276
2021-07-21,2.677
2021-07-22,-4.571
2021-07-23,-1.298
2021-07-24,1.755
2021-07-25,-0.253
2021-07-26,4.434
